Gene-symbol,GSE15471-Adj-Pval,GSE15471-logFC,GSE16515-Adj-Pval,GSE16515-logFC,GSE28735-Adj-Pval,GSE28735-logFC
SLC44A4,0.000253964,1.27453752,0.000442584,2.3995452,1.79e-07,1.2232882
ADGRF1,1.72e-05,1.13978583,0.000164581,1.1893599,4.91e-08,1.6035156
COL12A1,6.84e-11,2.63331012,0.004150978,2.3293079,6.9e-07,1.732026
COL10A1,8.55e-17,4.11443223,0.00268006,3.769442,1.25e-10,1.5692449
ANLN,6.94e-06,1.3095382,7.28e-09,2.231518,1.53e-08,1.6620173
MET,2.21e-08,1.50207236,1.04e-08,2.5898945,3.36e-09,1.4803842
AGR2,0.000175981,2.04964413,7.99e-06,3.969858,6.44e-10,2.1373789
IGF2BP3,1.32e-06,1.58746323,8.26e-08,3.0528705,1e-06,1.1658791
OSBPL3,2.03e-08,1.63408696,0.001281396,1.8293977,8.3e-08,1.1831684
BAIAP2L1,2.89e-05,1.03078995,0.00017027,1.3152206,1.48e-07,1.2480627
ADAM28,5.55e-08,1.88320102,0.00390526,2.0100548,8.23e-06,1.141082
ADAM9,6.88e-10,1.71106472,0.000649862,2.1579972,3.8e-07,1.1530387
SULF1,7.02e-17,3.68940574,0.006049492,2.4181396,8.39e-08,1.9594916
LOXL2,7.61e-09,1.61216046,5.18e-05,2.2926783,4.99e-08,1.2380353
SDR16C5,2.67e-07,2.31520076,6.49e-09,4.1847444,3.26e-11,1.5155709
MELK,6.54e-06,1.21151988,8.96e-05,2.0270539,2.61e-07,1.1532836
LCN2,2.17e-08,2.89069735,0.000462099,3.7867526,8.79e-05,1.1424984
VSIG1,3.01e-05,1.7832075,0.000113592,2.200699,2.37e-07,1.9952567
SLC6A14,1.44e-08,3.00993894,3.55e-10,4.6265813,3.87e-11,3.075768
MXRA5,1.94e-12,2.3876267,0.008004289,1.7945193,2.67e-06,1.1398482
