Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
209292_at,3.91e-05,0.001143308,-1.0073959,ID4
209366_x_at,9.81e-05,0.002232152,-1.2278367,CYB5A
209368_at,0.000783642,0.009449554,-1.5900637,EPHX2
209409_at,0.000131102,0.002755926,-1.2091346,GRB10
209459_s_at,8.3e-05,0.001976658,-2.1768305,ABAT
209460_at,2.95e-05,0.000938974,-1.7414842,ABAT
209467_s_at,0.000784186,0.009453641,-1.1017677,MKNK1
209560_s_at,0.000300829,0.004987602,-2.65662,DLK1
209612_s_at,4.16e-06,0.000222386,-2.2825431,ADH1B
209613_s_at,5.09e-06,0.000257285,-2.2197725,ADH1B
209617_s_at,5.12e-05,0.001397503,-1.8025505,CTNND2
209618_at,0.00041642,0.006264007,-1.8794837,CTNND2
209687_at,3.72e-08,6.99e-06,-1.8045397,CXCL12
209822_s_at,0.000168204,0.003280768,-1.3157006,VLDLR
210078_s_at,1.17e-05,0.000475715,-1.1257923,KCNAB1
210168_at,9.73e-05,0.002217379,-2.3088466,C6
210174_at,0.000112296,0.002470918,-2.2282414,NR5A2
210375_at,0.000624079,0.008171377,-1.1050894,PTGER3
210401_at,0.000218784,0.003970901,-2.3825371,P2RX1
210524_x_at,5.2e-06,0.00026193,-1.6068165,nan
210751_s_at,2.82e-05,0.000912288,-2.1504185,RGN
211456_x_at,3.28e-07,3.4e-05,-1.4771787,MT1HL1
212185_x_at,1.8e-07,2.18e-05,-1.1897213,MT2A
212224_at,1.67e-05,0.000618836,-1.1874318,ALDH1A1
212593_s_at,3.93e-06,0.000214094,-1.6025263,MIR4680///PDCD4
212594_at,2.92e-05,0.000934773,-1.9236282,MIR4680///PDCD4
212859_x_at,1.8e-06,0.000121151,-1.4111396,MT1E
212886_at,1.33e-07,1.74e-05,-1.4475536,CCDC69
213006_at,7.37e-08,1.16e-05,-1.0670353,CEBPD
213068_at,1.52e-07,1.93e-05,-2.1357284,DPT
213071_at,1.23e-06,8.97e-05,-1.6212054,DPT
213131_at,4.87e-06,0.000249824,-1.1692332,OLFM1
213221_s_at,0.000120676,0.002600813,-1.1053592,SIK2
213222_at,3.02e-05,0.00095587,-1.1333378,PLCB1
213224_s_at,3.02e-06,0.000176389,-1.3459761,BBIP1
213228_at,4.2e-05,0.001206992,-1.0830582,PDE8B
213245_at,4.81e-05,0.001333524,-1.2372364,ADCY1
213353_at,3.68e-05,0.001096561,-1.3154612,ABCA5
213479_at,0.00034347,0.005459234,-1.4542588,NPTX2
213629_x_at,1.71e-05,0.000631075,-1.7968503,MT1F
213657_s_at,1.06e-06,8.18e-05,-1.0985533,nan
213658_at,9.51e-07,7.59e-05,-1.1787169,nan
